Model;Idx;Metrics
B1;0;[('Precision', 0.20023771619348907), ('Recall', 0.3426807021630175), ('F-measure', 0.2502092099070203), ('Average_Overlap_Ratio', 0.768473654965478), ('Precision_no_offset', 0.4008329287242528), ('Recall_no_offset', 0.7030012826774649), ('F-measure_no_offset', 0.5055691195009927), ('Average_Overlap_Ratio_no_offset', 0.5362855733068679), ('Onset_Precision', 0.4839407584065091), ('Onset_Recall', 0.8497779016570456), ('Onset_F-measure', 0.6106193650724374), ('Offset_Precision', 0.4733670840779419), ('Offset_Recall', 0.8366014980726215), ('Offset_F-measure', 0.5985831506256113)]
B1;1;[('Precision', 0.17636104510791986), ('Recall', 0.31150933307291356), ('F-measure', 0.22307138078392977), ('Average_Overlap_Ratio', 0.7622024727623512), ('Precision_no_offset', 0.3816170511261656), ('Recall_no_offset', 0.6859202442896104), ('F-measure_no_offset', 0.48592217964298645), ('Average_Overlap_Ratio_no_offset', 0.5168924551710193), ('Onset_Precision', 0.47200461441096203), ('Onset_Recall', 0.8489462382988291), ('Onset_F-measure', 0.6011430525526847), ('Offset_Precision', 0.4597055134098822), ('Offset_Recall', 0.8328618179638424), ('Offset_F-measure', 0.5869081297391697)]
B1;2;[('Precision', 0.1920010686802493), ('Recall', 0.34492487807416505), ('F-measure', 0.2443334004490601), ('Average_Overlap_Ratio', 0.7644168865486141), ('Precision_no_offset', 0.385010115975546), ('Recall_no_offset', 0.7065058066811437), ('F-measure_no_offset', 0.4938198520849684), ('Average_Overlap_Ratio_no_offset', 0.5259258869150288), ('Onset_Precision', 0.46828040300209023), ('Onset_Recall', 0.8593341288604411), ('Onset_F-measure', 0.6005924978935334), ('Offset_Precision', 0.45793629570289235), ('Offset_Recall', 0.8450050275629566), ('Offset_F-measure', 0.5883789482908427)]
B1;3;[('Precision', 0.19228837908655222), ('Recall', 0.32779400991678137), ('F-measure', 0.2402744640106821), ('Average_Overlap_Ratio', 0.7652826378363401), ('Precision_no_offset', 0.3963026264852651), ('Recall_no_offset', 0.6900144310777562), ('F-measure_no_offset', 0.4991247622499258), ('Average_Overlap_Ratio_no_offset', 0.5327399825629405), ('Onset_Precision', 0.48312557137331474), ('Onset_Recall', 0.8416058464659654), ('Onset_F-measure', 0.6085416337805636), ('Offset_Precision', 0.47360232454990486), ('Offset_Recall', 0.8307637365367035), ('Offset_F-measure', 0.5979569468563504)]
B1;4;[('Precision', 0.19111019652941322), ('Recall', 0.32743015243781387), ('F-measure', 0.2389403699103419), ('Average_Overlap_Ratio', 0.763843595510469), ('Precision_no_offset', 0.3922716692276451), ('Recall_no_offset', 0.6878037047628528), ('F-measure_no_offset', 0.4946606809936761), ('Average_Overlap_Ratio_no_offset', 0.52524246786518), ('Onset_Precision', 0.4792000629660169), ('Onset_Recall', 0.8401128503873883), ('Onset_F-measure', 0.6041815790379723), ('Offset_Precision', 0.47199067824170393), ('Offset_Recall', 0.8340875017644379), ('Offset_F-measure', 0.5966668305858278)]
B2;0;[('Precision', 0.1972944385433594), ('Recall', 0.34187279035325185), ('F-measure', 0.24793674330325124), ('Average_Overlap_Ratio', 0.7667006812674405), ('Precision_no_offset', 0.4002363495719383), ('Recall_no_offset', 0.709250078631603), ('F-measure_no_offset', 0.5070512198309817), ('Average_Overlap_Ratio_no_offset', 0.5283468246725459), ('Onset_Precision', 0.483105089378027), ('Onset_Recall', 0.8552547826412581), ('Onset_F-measure', 0.6117706987672975), ('Offset_Precision', 0.470862848170476), ('Offset_Recall', 0.8400179790098553), ('Offset_F-measure', 0.5978055432326085)]
B2;1;[('Precision', 0.196436196624558), ('Recall', 0.34728228404524525), ('F-measure', 0.248778295881287), ('Average_Overlap_Ratio', 0.7683603999991001), ('Precision_no_offset', 0.3920404550906639), ('Recall_no_offset', 0.7063540689957735), ('F-measure_no_offset', 0.4998893265227609), ('Average_Overlap_Ratio_no_offset', 0.5359690958707978), ('Onset_Precision', 0.4742871053579537), ('Onset_Recall', 0.8535729984154301), ('Onset_F-measure', 0.6044743976256733), ('Offset_Precision', 0.46624008381272714), ('Offset_Recall', 0.8448734964341538), ('Offset_F-measure', 0.5955417257726605)]
B2;2;[('Precision', 0.20140238122663112), ('Recall', 0.36330740664301886), ('F-measure', 0.2565523564579244), ('Average_Overlap_Ratio', 0.7648065262128867), ('Precision_no_offset', 0.3911412280478473), ('Recall_no_offset', 0.7254884738526844), ('F-measure_no_offset', 0.5031437938096601), ('Average_Overlap_Ratio_no_offset', 0.5267159859651119), ('Onset_Precision', 0.46863435273141346), ('Onset_Recall', 0.8698246775624126), ('Onset_F-measure', 0.602942128998695), ('Offset_Precision', 0.45865650222552323), ('Offset_Recall', 0.8581862622217503), ('Offset_F-measure', 0.5916228060677027)]
B2;3;[('Precision', 0.1953586239129975), ('Recall', 0.34786148544444645), ('F-measure', 0.24790296980614726), ('Average_Overlap_Ratio', 0.7636421707335224), ('Precision_no_offset', 0.3929888164171119), ('Recall_no_offset', 0.7156492229978075), ('F-measure_no_offset', 0.502689709829543), ('Average_Overlap_Ratio_no_offset', 0.5253465587705807), ('Onset_Precision', 0.47322177666745063), ('Onset_Recall', 0.861221426978694), ('Onset_F-measure', 0.6051175070205694), ('Offset_Precision', 0.4634630112762222), ('Offset_Recall', 0.8497732474633295), ('Offset_F-measure', 0.5940761324478263)]
B2;4;[('Precision', 0.19633915220457673), ('Recall', 0.3469530999640195), ('F-measure', 0.2483682180294508), ('Average_Overlap_Ratio', 0.7644528382228983), ('Precision_no_offset', 0.3909123016318983), ('Recall_no_offset', 0.704572238229281), ('F-measure_no_offset', 0.4980290479229763), ('Average_Overlap_Ratio_no_offset', 0.5326459777104549), ('Onset_Precision', 0.47412104743075895), ('Onset_Recall', 0.8536844376623013), ('Onset_F-measure', 0.6037913134173717), ('Offset_Precision', 0.46481561812010824), ('Offset_Recall', 0.8434908187773356), ('Offset_F-measure', 0.5934413926836604)]
A1;0;[('Precision', 0.18646302403426948), ('Recall', 0.32422639086285715), ('F-measure', 0.23451064677040354), ('Average_Overlap_Ratio', 0.7644520538353585), ('Precision_no_offset', 0.3842551820498898), ('Recall_no_offset', 0.6831347007951167), ('F-measure_no_offset', 0.48714840882438465), ('Average_Overlap_Ratio_no_offset', 0.5343815800365682), ('Onset_Precision', 0.4769998575510161), ('Onset_Recall', 0.8464528725334315), ('Onset_F-measure', 0.6042683531543578), ('Offset_Precision', 0.4660297764233004), ('Offset_Recall', 0.8338521391619584), ('Offset_F-measure', 0.591981212161007)]
A1;1;[('Precision', 0.17566449910063484), ('Recall', 0.334536300032229), ('F-measure', 0.22818460189145914), ('Average_Overlap_Ratio', 0.7678566655305237), ('Precision_no_offset', 0.35935297759115925), ('Recall_no_offset', 0.7027692489616478), ('F-measure_no_offset', 0.47119268902355443), ('Average_Overlap_Ratio_no_offset', 0.5307928224467859), ('Onset_Precision', 0.4466904870699275), ('Onset_Recall', 0.8746153467525504), ('Onset_F-measure', 0.5859160573829999), ('Offset_Precision', 0.43744336028144376), ('Offset_Recall', 0.8617504336886358), ('Offset_F-measure', 0.5749276131439713)]
A1;2;[('Precision', 0.18304692556589888), ('Recall', 0.32951188574486745), ('F-measure', 0.23334879415067186), ('Average_Overlap_Ratio', 0.7681034330862805), ('Precision_no_offset', 0.3761724904848579), ('Recall_no_offset', 0.6905492831279834), ('F-measure_no_offset', 0.4829704449481038), ('Average_Overlap_Ratio_no_offset', 0.5337987735685968), ('Onset_Precision', 0.4668989632682259), ('Onset_Recall', 0.857090873230554), ('Onset_F-measure', 0.5994391358368708), ('Offset_Precision', 0.45657218087693785), ('Offset_Recall', 0.8428238278637316), ('Offset_F-measure', 0.5872545224506219)]
A1;3;[('Precision', 0.18603546627792383), ('Recall', 0.327560581617186), ('F-measure', 0.23508356135191108), ('Average_Overlap_Ratio', 0.7673296803746507), ('Precision_no_offset', 0.3840763154307485), ('Recall_no_offset', 0.6928141154455891), ('F-measure_no_offset', 0.4897198071076992), ('Average_Overlap_Ratio_no_offset', 0.5320036493623026), ('Onset_Precision', 0.47467775457916817), ('Onset_Recall', 0.8570303655303955), ('Onset_F-measure', 0.6054458153027468), ('Offset_Precision', 0.46260923139655685), ('Offset_Recall', 0.8413725249726326), ('Offset_F-measure', 0.5915130288625917)]
