Model;Idx;Loss;Precision;Recall;AUC
B1;0;0.07025682;0.70897436;0.60005748;0.95183581
B1;1;0.06993055;0.69546139;0.59322447;0.95304936
B1;2;0.06975848;0.70984828;0.5848521 ;0.95186526
B1;3;0.06925541;0.7106598 ;0.58967131;0.95280606
B1;4;0.06796864;0.71610701;0.58086801;0.95431942
B2;0;0.0683966 ;0.72648013;0.59890646;0.95273811
B2;1;0.06939836;0.71351838;0.61370099;0.95173299
B2;2;0.06835187;0.73034495;0.59178764;0.9520964 
B2;3;0.06928466;0.72315508;0.60480696;0.9519459 
B2;4;0.06839308;0.71997648;0.60327375;0.95384866
A1;0;0.08009119;0.69487244;0.57417196;0.94135869
A1;1;0.0826958 ;0.67305207;0.59228396;0.94136423
A1;2;0.080796  ;0.68482602;0.58376169;0.94236541
A1;3;0.08020711;0.68769175;0.58669645;0.9414587 
A1;4;0.080695  ;0.69751298;0.56590265;0.93999332
B3;0;0.06846674;0.71429336;0.6070646 ;0.95307082
B3;1;0.07006937;0.71342582;0.61921924;0.95078319
B3;2;0.06850674;0.70919931;0.60413128;0.95399022
B3;3;0.06891272;0.72108364;0.60783482;0.95214951
B3;4;0.06888483;0.70518893;0.63074207;0.95340759
A2;0;0.08925794;0.66697466;0.60277748;0.93620372
A2;1;0.08723795;0.68674439;0.58180755;0.93532097
A2;2;0.08629537;0.6696611 ;0.60515487;0.9411096 
A2;3;0.08799148;0.65812832;0.61085975;0.94010794
A2;4;0.08650001;0.68155062;0.59869552;0.93877   
A3;0;0.09265111;0.66118139;0.60284621;0.93450683
A3;1;0.09638507;0.67838883;0.60042632;0.92909157
A3;2;0.0911796 ;0.6920076 ;0.59563529;0.93250239
A3;3;0.09357855;0.67175919;0.58861953;0.93128192
A3;4;0.09489106;0.66405553;0.60655016;0.93240207
D1;0;0.0679901 ;0.72005147;0.6107471 ;0.95287877
D1;1;0.07237618;0.73204255;0.59920901;0.94523531
D1;2;0.07007042;0.72026753;0.60989964;0.94934553
D1;3;0.07014245;0.72145432;0.61352581;0.94910443
D1;4;0.06967569;0.72315705;0.6121124 ;0.95027113
C1;0;0.09447779;0.67149174;0.58883667;0.92891216
C1;1;0.09684023;0.66743994;0.59408534;0.92750227
C1;2;0.09092326;0.67272449;0.60019964;0.93248338
C1;3;0.0973947 ;0.66722262;0.58817387;0.92649966
C1;4;0.08975212;0.68150806;0.588893  ;0.93258291
D2;0;0.0773591 ;0.70681232;0.61176592;0.94142181
D2;1;0.07271317;0.71793312;0.6017195 ;0.94574624
D2;2;0.07192686;0.71555203;0.61798954;0.94720232
D2;3;0.07309297;0.71363461;0.60886508;0.9458757 
D2;4;0.07373137;0.70851421;0.60637218;0.9456991 
D3;0;0.07942858;0.71771139;0.60110253;0.93775451
D3;1;0.07742108;0.71079606;0.61302859;0.9399941 
D3;2;0.07630132;0.70727456;0.62037694;0.94242954
D3;3;0.07682687;0.71219385;0.61514258;0.94168782
D3;4;0.07528501;0.70704067;0.60799515;0.9439621 
C2;0;0.10079037;0.67070168;0.5951342 ;0.92415029
C2;1;0.11255013;0.6718089 ;0.59407198;0.91564727
C2;2;0.10621168;0.66332257;0.59941322;0.92099994
C2;3;0.1085417 ;0.65461874;0.60062581;0.91965848
C2;4;0.10383037;0.66899788;0.59158915;0.92099673
C3;0;0.10902868;0.6766932 ;0.5885222 ;0.91674846
C3;1;0.11607449;0.65896064;0.597974  ;0.91424161
C3;2;0.10620364;0.66583019;0.59662354;0.91997254
C3;3;0.1036654 ;0.67101502;0.59109622;0.92147636
C3;4;0.10673771;0.66559666;0.59170747;0.91898698
C4;0;0.11517122;0.65530676;0.59786856;0.91434383
C4;1;0.12177125;0.64951193;0.60026455;0.91081846
C4;2;0.11810472;0.65499437;0.59622985;0.91304868
C4;3;0.11489428;0.66173917;0.59953922;0.91472542
C4;4;0.12251441;0.64916772;0.59761661;0.91043282
