Model;Idx;Time
B1;0;[(1, 147.99716329574585), (2, 131.08931803703308), (3, 136.1622450351715), (4, 133.46418714523315), (5, 133.68446278572083), (6, 130.1983346939087), (7, 133.60178065299988), (8, 132.18723702430725), (9, 130.1350245475769), (10, 132.60466122627258), (11, 134.39629530906677), (12, 133.68054747581482), (13, 132.13081741333008), (14, 133.61057329177856), (15, 132.58997869491577), (16, 133.32512307167053), (17, 132.42448806762695), (18, 133.20331025123596), (19, 134.10645127296448), (20, 133.02650475502014), (21, 130.5320463180542), (22, 133.22444987297058), (23, 132.4812879562378), (24, 131.91497826576233), (25, 131.19932460784912), (26, 130.93466353416443), (27, 133.97843146324158), (28, 133.55641078948975), (29, 133.2179889678955), (30, 133.31343793869019), (31, 137.10526537895203), (32, 168.08966541290283)]
B1;1;[(1, 138.3292236328125), (2, 132.61435985565186), (3, 132.04687595367432), (4, 132.82147192955017), (5, 132.98723649978638), (6, 134.47578883171082), (7, 132.033141374588), (8, 133.26406598091125), (9, 137.16784119606018), (10, 133.61789345741272), (11, 168.7769045829773), (12, 134.18861603736877), (13, 137.8307750225067), (14, 146.35849857330322), (15, 134.18959975242615), (16, 133.12229323387146), (17, 136.10668301582336), (18, 134.24910831451416), (19, 136.6644365787506), (20, 146.12121486663818), (21, 135.97640180587769)]
B1;2;[(1, 139.56730675697327), (2, 141.32860016822815), (3, 134.18659090995789), (4, 130.03312373161316), (5, 143.01350450515747), (6, 135.26380133628845), (7, 130.4371030330658), (8, 132.3532612323761), (9, 136.69449138641357), (10, 146.48555707931519), (11, 138.09292244911194), (12, 159.23973107337952), (13, 137.60514402389526), (14, 170.87976503372192), (15, 139.97835063934326), (16, 138.97400879859924), (17, 146.53521180152893), (18, 126.85903215408325), (19, 124.99498319625854), (20, 126.10898208618164), (21, 120.46379613876343)]
B1;3;[(1, 129.2668673992157), (2, 119.92691659927368), (3, 120.87444424629211), (4, 128.44424176216125), (5, 134.35560870170593), (6, 133.66484355926514), (7, 129.942067861557), (8, 130.2717468738556), (9, 130.59757328033447), (10, 131.3316707611084), (11, 134.525310754776), (12, 130.67605781555176), (13, 129.89591312408447), (14, 130.33069396018982), (15, 129.4848964214325), (16, 130.6135196685791), (17, 130.28866004943848), (18, 127.25764608383179), (19, 125.27057218551636), (20, 126.24288511276245), (21, 126.8251576423645), (22, 126.02270555496216), (23, 126.91552186012268), (24, 125.77340054512024), (25, 127.4555549621582), (26, 127.14743852615356)]
B1;4;[(1, 141.2414722442627), (2, 127.18922591209412), (3, 128.03859972953796), (4, 127.05822348594666), (5, 127.1653528213501), (6, 127.46583223342896), (7, 127.38460445404053), (8, 128.70435523986816), (9, 128.42646408081055), (10, 127.71606040000916), (11, 131.52106761932373), (12, 127.50487732887268), (13, 128.2160325050354), (14, 128.47442984580994), (15, 130.740229845047), (16, 127.79483342170715), (17, 128.87183713912964), (18, 128.1615059375763), (19, 128.1551218032837), (20, 128.3282709121704), (21, 128.44784426689148), (22, 127.6174087524414)]
B2;0;[(1, 140.02557611465454), (2, 136.94588589668274), (3, 139.20454788208008), (4, 137.10762190818787), (5, 137.57466077804565), (6, 136.4646553993225), (7, 141.42966866493225), (8, 137.88760828971863), (9, 137.19532012939453), (10, 137.90110325813293), (11, 142.3530867099762), (12, 136.9936728477478), (13, 136.9906611442566), (14, 143.1926817893982), (15, 145.48329973220825), (16, 145.3299479484558), (17, 139.00528287887573), (18, 135.78665828704834), (19, 136.64697098731995), (20, 136.9800112247467), (21, 139.20847606658936), (22, 135.57974433898926), (23, 137.2295045852661), (24, 137.1590838432312)]
B2;1;[(1, 150.11367273330688), (2, 136.67292952537537), (3, 137.74654841423035), (4, 139.9460949897766), (5, 137.10899925231934), (6, 137.1196482181549), (7, 137.80519199371338), (8, 137.79871082305908), (9, 137.90006279945374), (10, 139.35709261894226), (11, 158.79400873184204), (12, 136.24119448661804), (13, 137.09821724891663), (14, 137.03592991828918), (15, 136.97057485580444), (16, 136.6124188899994), (17, 137.76677680015564), (18, 138.9657106399536), (19, 137.4206838607788), (20, 136.18032240867615), (21, 136.53133344650269), (22, 136.18636965751648), (23, 136.60430765151978), (24, 136.00873970985413)]
B2;2;[(1, 143.92423701286316), (2, 137.5466287136078), (3, 135.4609134197235), (4, 135.1498486995697), (5, 136.0690929889679), (6, 136.140634059906), (7, 135.01282143592834), (8, 134.86637449264526), (9, 139.51608514785767), (10, 131.887451171875), (11, 137.59537506103516), (12, 132.08200001716614), (13, 133.22631072998047), (14, 132.4321858882904), (15, 132.42216181755066), (16, 136.18508648872375), (17, 132.61097645759583), (18, 133.41402196884155), (19, 131.90668845176697), (20, 132.31736874580383), (21, 132.2059302330017), (22, 131.78303265571594), (23, 135.04726243019104), (24, 134.21349215507507), (25, 131.97866225242615), (26, 132.1351888179779), (27, 132.0673861503601), (28, 132.41679286956787), (29, 133.70255184173584), (30, 132.1194088459015), (31, 135.98667311668396), (32, 132.33077025413513), (33, 132.16619729995728), (34, 132.5156102180481), (35, 133.2072515487671), (36, 133.21358275413513), (37, 132.8894019126892), (38, 135.38774394989014)]
B2;3;[(1, 141.25995326042175), (2, 136.2142837047577), (3, 136.88883996009827), (4, 134.8631842136383), (5, 137.0060784816742), (6, 135.56033873558044), (7, 137.45634245872498), (8, 136.32478046417236), (9, 135.3048906326294), (10, 134.43429613113403), (11, 140.41106915473938), (12, 136.62326169013977), (13, 135.2981414794922), (14, 136.78882384300232), (15, 137.78382754325867), (16, 135.60092949867249), (17, 136.10006976127625), (18, 136.33431363105774), (19, 135.33399367332458), (20, 134.6822807788849), (21, 135.95612931251526), (22, 139.47775101661682), (23, 136.0419101715088), (24, 135.93292689323425), (25, 135.38620519638062), (26, 135.14852142333984), (27, 135.30189108848572)]
B2;4;[(1, 141.41414332389832), (2, 135.30060815811157), (3, 135.66995120048523), (4, 133.9332959651947), (5, 135.7062475681305), (6, 135.06081867218018), (7, 135.28147292137146), (8, 134.43470358848572), (9, 138.92376399040222), (10, 135.61749482154846), (11, 139.55528259277344), (12, 134.68156337738037), (13, 135.4175205230713), (14, 134.58050155639648), (15, 134.51369833946228), (16, 137.15970611572266), (17, 135.73508095741272), (18, 136.0880424976349), (19, 134.42491126060486), (20, 135.04560661315918), (21, 135.8772795200348)]
